title,price,location,link,year,brand,model
"Ford Raptor Ranger MSRT 3L V6 BI.TURBO 2024
0 km
MEMBER
Colombo, Cars
Rs 29,600,000
7 hours",29600000,"Ford Raptor Ranger MSRT 3L V6 BI.TURBO 2024
0 km
MEMBER
Colombo, Cars
Rs 29,600,000
7 hours",https://ikman.lk/en/ad/ford-raptor-ranger-msrt-3l-v6-biturbo-2024-for-sale-colombo,2024,Other,Unknown
"Toyota Prius 2008
208,000 km
Colombo, Cars
Rs 6,775,000
7 hours",6775000,"Toyota Prius 2008
208,000 km
Colombo, Cars
Rs 6,775,000
7 hours",https://ikman.lk/en/ad/toyota-prius-2008-for-sale-colombo-1234,2008,Toyota,Prius
"Suzuki Alto K10 2012
165,000 km
Batticaloa, Cars
Rs 3,300,000
8 hours",3300000,"Suzuki Alto K10 2012
165,000 km
Batticaloa, Cars
Rs 3,300,000
8 hours",https://ikman.lk/en/ad/suzuki-alto-k10-2012-for-sale-batticaloa,2012,Suzuki,Alto
"Toyota Corolla Cross Z Highest Spec 2024
0 km
MEMBER
Colombo, Cars
Rs 25,900,000
8 hours",25900000,"Toyota Corolla Cross Z Highest Spec 2024
0 km
MEMBER
Colombo, Cars
Rs 25,900,000
8 hours",https://ikman.lk/en/ad/toyota-corolla-cross-z-highest-spec-2024-for-sale-colombo-6,2024,Toyota,Corolla
"Toyota Hilux Revo Single Cab 2.8 2025
0 km
MEMBER
Colombo, Cars
Rs 14,100,000
8 hours",14100000,"Toyota Hilux Revo Single Cab 2.8 2025
0 km
MEMBER
Colombo, Cars
Rs 14,100,000
8 hours",https://ikman.lk/en/ad/toyota-hilux-revo-single-cab-28-2025-for-sale-colombo-1,2025,Toyota,Hilux
"Toyota Travo Overland AT + 2025
0 km
MEMBER
Gampaha, Cars
Rs 29,800,000
8 hours",29800000,"Toyota Travo Overland AT + 2025
0 km
MEMBER
Gampaha, Cars
Rs 29,800,000
8 hours",https://ikman.lk/en/ad/toyota-travo-overland-at-2025-for-sale-gampaha,2025,Toyota,Travo
"Toyota Urban Cruiser Hyryder V 2025
0 km
MEMBER
Colombo, Cars
Rs 16,650,000
8 hours",16650000,"Toyota Urban Cruiser Hyryder V 2025
0 km
MEMBER
Colombo, Cars
Rs 16,650,000
8 hours",https://ikman.lk/en/ad/toyota-urban-cruiser-hyryder-v-2025-for-sale-colombo-41,2025,Toyota,Urban
"Toyota Axio FIELDER 2010
156,983 km
MEMBER
Colombo, Cars
Rs 6,475,000
8 hours",6475000,"Toyota Axio FIELDER 2010
156,983 km
MEMBER
Colombo, Cars
Rs 6,475,000
8 hours",https://ikman.lk/en/ad/toyota-axio-fielder-2010-for-sale-colombo-1,2010,Toyota,Axio
"Mini Cooper 2016
76,800 km
Colombo, Cars
Rs 14,800,000
8 hours",14800000,"Mini Cooper 2016
76,800 km
Colombo, Cars
Rs 14,800,000
8 hours",https://ikman.lk/en/ad/mini-cooper-2016-for-sale-colombo-33,2016,Other,Unknown
"Suzuki Swift MZ 2023
70 km
MEMBER
Colombo, Cars
Rs 12,500,000
8 hours",12500000,"Suzuki Swift MZ 2023
70 km
MEMBER
Colombo, Cars
Rs 12,500,000
8 hours",https://ikman.lk/en/ad/suzuki-swift-mz-2023-for-sale-colombo-5,2023,Suzuki,Swift
"BMW 318i M Sport 2018
40,000 km
Colombo, Cars
Rs 22,900,000
8 hours",22900000,"BMW 318i M Sport 2018
40,000 km
Colombo, Cars
Rs 22,900,000
8 hours",https://ikman.lk/en/ad/bmw-318i-m-sport-2018-for-sale-colombo-406,2018,BMW,318i
"Toyota Premio G Superior 2014
199,000 km
MEMBER
Colombo, Cars
Rs 11,200,000
8 hours",11200000,"Toyota Premio G Superior 2014
199,000 km
MEMBER
Colombo, Cars
Rs 11,200,000
8 hours",https://ikman.lk/en/ad/toyota-premio-g-superior-2014-for-sale-colombo-1049,2014,Toyota,Premio
